item,itemLabel,startDate,endDate,sourceDate,psid
Q724271,Solomon Berewa,1996,2002,,Q724271-4d80e0b4-4291-556a-096f-ffeffaf98cc9
Q113975855,Eke Ahmed Halloway,2002,2004,2022-09-14,Q113975855-D22E36E6-E3CE-4C9D-93F7-EFA4B70B6938
Q113975857,Frederick Carew,2004,2006,2022-09-14,Q113975857-4F25623F-B462-4662-A1E2-E4A64D181602
Q4665725,Abdul Serry-Kamal,2007,2010,2022-09-14,Q4665725-54DA327B-660B-475C-999C-5714802D89B6
Q113975856,Frank Kargbo,2010,2015,2022-09-14,Q113975856-4205E71A-5AE3-455A-BEAA-0D1F5C8EA5A2
Q113975858,Joseph Fitzgerald Kamara,2016,2018,2022-09-14,Q113975858-5417957E-2C6C-48E5-8352-9D79303C6F15
Q5080659,Charles Margai,2018-04-16,2018-06-11,2022-09-14,Q5080659-0CA975DA-A728-4D3B-B334-315E6B1254A1
Q55065141,Priscilla Schwartz,2018-06-11,2020-07-07,2022-09-14,Q55065141-AA2A416B-5D41-4CA7-AE92-2832E90B6F55
Q113975853,Anthony Yiehwoe Brewah,2020-07-07,2022-01,2022-09-14,Q113975853-E76514BB-1308-4C70-A5BC-9BC02C0FA18A
Q113976511,Mohamed Lamin Tarawalley,2022-01-18,,,Q113976511-80E8731F-C1B2-4554-BD8B-FBDAA789FE14
