item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q104603374,NormalRank,Q6581097,true,false,,,,
Q105725171,NormalRank,Q6581097,true,false,,,,
Q107067181,NormalRank,Q6581097,true,false,,,,
Q111522183,NormalRank,Q6581072,true,false,,,,
Q113975853,,,,false,,,,
Q113975855,,,,false,,,,
Q113975856,,,,false,,,,
Q113975857,,,,false,,,,
Q113975858,,,,false,,,,
Q113976488,,,,false,,,,
Q113976489,,,,false,,,,
Q113976490,,,,false,,,,
Q113976491,,,,false,,,,
Q113976492,,,,false,,,,
Q113976494,,,,false,,,,
Q113976495,,,,false,,,,
Q113976496,,,,false,,,,
Q113976497,,,,false,,,,
Q113976498,NormalRank,Q6581072,true,false,,,,
Q113976499,,,,false,,,,
Q113976500,,,,false,,,,
Q113976501,,,,false,,,,
Q113976502,,,,false,,,,
Q113976503,,,,false,,,,
Q113976504,,,,false,,,,
Q113976506,,,,false,,,,
Q113976507,,,,false,,,,
Q113976508,NormalRank,Q6581097,true,false,,,,
Q113976509,,,,false,,,,
Q113976510,NormalRank,Q6581097,true,false,,,,
Q113976511,NormalRank,Q6581097,true,false,,,,
Q113976512,NormalRank,Q6581072,true,false,,,,
Q113976513,,,,false,,,,
Q113976514,NormalRank,Q6581097,true,false,,,,
Q113976516,,,,false,,,,
Q113976517,NormalRank,Q6581097,true,false,,,,
Q113976801,NormalRank,Q6581097,true,false,,,,
Q113976854,NormalRank,Q6581097,true,false,,,,
Q15127738,NormalRank,Q6581097,true,false,,,,
Q16727827,NormalRank,Q6581097,true,false,,,,
Q20090713,NormalRank,Q6581097,true,false,,,,
Q23728768,NormalRank,Q6581097,true,false,,,,
Q26923472,NormalRank,Q6581097,true,false,,,,
Q283829,NormalRank,Q6581097,true,false,,,,
Q3319770,NormalRank,Q6581097,true,false,,,,
Q336297,NormalRank,Q6581097,true,true,false,false,false,true
Q336297,NormalRank,Q6581097,true,true,true,false,false,false
Q443070,NormalRank,Q6581097,true,true,false,false,false,true
Q443070,NormalRank,Q6581097,true,true,true,false,false,false
Q4663554,NormalRank,Q6581097,true,false,,,,
Q4665725,NormalRank,Q6581097,true,false,,,,
Q4666604,NormalRank,Q6581097,true,false,,,,
Q4695974,NormalRank,Q6581097,true,false,,,,
Q4710578,NormalRank,Q6581097,true,false,,,,
Q4735136,NormalRank,Q6581097,true,false,,,,
Q50242006,NormalRank,Q6581097,true,true,false,false,false,true
Q5080659,NormalRank,Q6581097,true,false,,,,
Q5339393,NormalRank,Q6581097,true,false,,,,
Q53863493,NormalRank,Q6581097,true,false,,,,
Q55065141,NormalRank,Q6581072,true,true,false,false,false,true
Q55081550,NormalRank,Q6581072,true,true,false,false,false,true
Q55126210,NormalRank,Q6581097,true,false,,,,
Q6104671,NormalRank,Q6581097,true,false,,,,
Q6363364,NormalRank,Q6581097,true,false,,,,
Q724271,NormalRank,Q6581097,true,false,,,,
Q7413073,NormalRank,Q6581097,true,true,true,false,false,false
Q7493283,NormalRank,Q6581097,true,false,,,,
Q80050898,NormalRank,Q6581097,true,true,false,false,false,true
Q87471867,NormalRank,Q6581072,true,false,,,,
Q971440,NormalRank,Q6581097,true,false,,,,
Q98637396,NormalRank,Q6581097,true,false,,,,
Q57460,NormalRank,Q6581097,true,true,true,false,false,false
Q58244,NormalRank,Q6581072,true,true,false,false,false,true
