pageid,title,wikidata,label
1699574,Julius Maada Bio,Q283829,Julius Maada Bio
23952254,Kanja Sesay,Q6363364,Kanja Ibrahim Sesay
33791669,Alpha Timbo,Q4735136,Alpha Timbo
56709009,Mohamed Juldeh Jalloh,Q50242006,Mohamed Juldeh Jalloh
57429028,David J. Francis (politician),Q53863493,David J. Francis
57703944,Fatima Maada Bio,Q55081550,Fatima Maada Bio
58782924,David Moinina Sengeh,Q23728768,David Sengeh
62680953,Tamba Lamina,Q80050898,Tamba Lamina
67856295,Jacob Jusu Saffa,Q107067181,Jacob Jusu Saffa
