wpid,wpdobstr,wpdob
1699574,"May 12, 1964",1964-05-12
23952254,1955,
33791669,"April 27, 1961",1961-04-27
57429028,"October 5, 1965",1965-10-05
57703944,"November 27, 1980",1980-11-27
5982392,"June 3, 1948",1948-06-03
