who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
23952254,,Commissioner of the Sierra Leone National Commission for Social Action (NaCSA).,2002,2007,,,,,0
23952254,,"Commissioner of the National Commission for Reconstruction, Resettlement and Rehabilitation (NCRRR)",1999,2002,,,,,1
23952254,,"Deputy Minister of National Ministry for Reconstruction, Resettlement and Rehabilitation (NCRRR)",1996,1999,,,,,2
23952254,,Executive Director of the Association for Rural Development (ARD),1990,1996,,,,,3
