who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
5982392,Q17110359,Speaker of the House of Parliament of Sierra Leone,2018-04-25,,Q7493283,Sheku Badara Bashiru Dumbuya,,,0
5982392,,,,,,,,,1
5982392,Sierra Leone People's Party,Northern Regional Chairman of the Sierra Leone People's Party,2013,,,,,,2
5982392,,Leader of the Progressive People's Party (PPP),1996,1996,,,,,3
5982392,,Sierra Leone Minister of Foreign Affairs,1994,1995,Karefa Kargbo,Karefa Kargbo,,Alusine Fofanah,4
5982392,Economic Community of West African States,Executive Secretary of the Economic Community of West African States,1989,1993,Momodu Munu,Momodu Munu,Edouard Benjamin,Edouard Benjamin,5
