item,itemLabel,startDate,endDate,sourceDate,psid
Q443070,Foday Sankoh,1999,2000,,Q443070-2d7ce3fb-44e4-3639-ccb3-678a95edcb55
Q4710578,Albert Joe Demby,2000,2002-05,,Q4710578-4E2CFD01-ECFC-4440-ADDD-A8B58FEA0C71
Q724271,Solomon Ekuma Berewa,2002-05,2007-09-17,2022-09-14,Q724271-E6D85EA2-E5B2-4BF5-A85A-DC882916DD53
Q971440,Samuel Sam-Sumana,2007-09-17,2015-03-17,,Q971440-3F4B886F-276B-4F83-A8E9-02FBF8DD68F8
Q20090713,Victor Bockarie Foh,2015-03-17,2018-04-04,,Q20090713-57E5815D-50FE-4A14-B2DE-F8E6C5453936
Q50242006,Mohamed Juldeh Jalloh,2018-04-04,,,Q50242006-d16ccef6-2f1c-440f-8967-886babdcfb9a
