@@,itemlabel,positionlabel
+++,Col. (Rtd) Muana Brima Massaquoi,Deputy Minister of Defence
---,Julius Maada Bio,President of Sierra Leone
---,Mohamed Juldeh Jalloh,Vice President of Sierra Leone
