position,person,personID,start,end
President,Julius Maada Bio,Q283829,2018-04-04,
Vice President,Mohamed Juldeh Jalloh,Q50242006,2018-04-04,
Chief Minister,Jacob Jusu Saffa,Q107067181,2021-04-30,
Minister of Agriculture,Abu Bakarr Karim,Q113976801,2021-04-30,
Minister of Defence,Kellie Conteh,Q113976508,2019-11-20,
Minister of Education,David Sengeh,Q23728768,2019-11-20,
Minister of Energy,Kanja Ibrahim Sesay,Q6363364,2018-05-04,
Minister of the Environment,Foday Jaward,Q113976499,2019-11-20,
Minister of Finance,Denis Vandi,Q113976495,2021-05-07,
Minister of Foreign Affairs,David J. Francis,Q53863493,2021-04-30,
Minister of Gender and Child Welfare,Manti Tarawalli,Q113976509,2019-11-20,
Minister of Health,Austin Demby,Q105725171,2021-01-18,
Minister of Information and Communication,Mohamed Rahman Swaray,Q104603374,2018-05-04,
Minister of Internal Affairs,David Panda-Noah,Q113976492,2020-05,
Minister of Justice,Mohamed Lamin Tarawalley,Q113976511,2022-01-18,
Minister of Labour and Social Security,Alpha Timbo,Q4735136,2019-11,
Minister of Lands and Country Planning,Turad Senesie,Q113976854,2021-01-18,
Minister of Local Government and Rural Development,Tamba Lamina,Q80050898,2019-07,
Minister of Marine Resources,Emma Kowa-Jalloh,Q113976498,2018-05-04,
Minister of Mineral Resources,Musa Timothy Kabba,Q113976513,2020-08,
Minister of Planning and Economic Development,Francis Kaikai,Q113976502,2019-06-20,
Minister of Political and Public Affairs,Foday Yumkella,Q113976501,2018-05-07,
Minister of Social Welfare,Baindu Dassama,Q113976491,2019-11-08,
Minister of Sport,Ibrahim Nyelenkeh,Q113976503,2018-05-07,
Minister of Technical and Higher Education,Alpha Wurie,Q113976490,2021-01-18,
Minister of Tourism and Cultural Affairs,Memunatu Pratt,Q111522183,2018-05-04,
Minister of Trade and Industry,Edward Sandy,Q113976496,2019-05-31,
Minister of Transport and Aviation,Kabineh Kallon,Q113976507,2018-05-04,
Minister of Water Resources,Philip Lansana,Q113976516,2019-11-20,
Minister of Works and Public Assets,Peter Bayuku Conteh,Q113976514,2019-05-22,
Minister of Youth,Mohamed Bangura,Q113976510,2018-05-04,
